Iteration,Average best solutions,Average of average solutions,P: Iteration,P: Population,P: Probability of crossing,P: Probability of mutation,P: No. crossing points,Out: Average time
0,1963.3764915999993,2938.3503818299987,30,160,0.85,0.12,"1,2,3",0.5896647262573242
1,1852.0867529999998,2761.6802913125," "" "," "" "," "" "," "" "," "" "," "" "
2,1783.9262962,2719.78770887125," "" "," "" "," "" "," "" "," "" "," "" "
3,1759.4699534000006,2683.9144404099998," "" "," "" "," "" "," "" "," "" "," "" "
4,1723.4822044000007,2652.9860900874996," "" "," "" "," "" "," "" "," "" "," "" "
5,1710.5531584000003,2615.8058221112487," "" "," "" "," "" "," "" "," "" "," "" "
6,1693.8779275999998,2592.5786785512487," "" "," "" "," "" "," "" "," "" "," "" "
7,1673.344448,2560.48357301," "" "," "" "," "" "," "" "," "" "," "" "
8,1649.6043719999998,2530.6748521450004," "" "," "" "," "" "," "" "," "" "," "" "
9,1634.0760375999996,2511.8465702," "" "," "" "," "" "," "" "," "" "," "" "
10,1622.6924827999997,2491.226902447501," "" "," "" "," "" "," "" "," "" "," "" "
11,1613.4277876,2463.6805683775," "" "," "" "," "" "," "" "," "" "," "" "
12,1598.8507287999998,2442.7715528275," "" "," "" "," "" "," "" "," "" "," "" "
13,1576.8885635999998,2416.2319823324997," "" "," "" "," "" "," "" "," "" "," "" "
14,1562.9879807999996,2396.75870577375," "" "," "" "," "" "," "" "," "" "," "" "
15,1549.0301311999992,2381.985381106249," "" "," "" "," "" "," "" "," "" "," "" "
16,1538.2234635999994,2361.653692924999," "" "," "" "," "" "," "" "," "" "," "" "
17,1535.1734063999997,2340.6407181225004," "" "," "" "," "" "," "" "," "" "," "" "
18,1522.8616623999997,2324.55186447," "" "," "" "," "" "," "" "," "" "," "" "
19,1516.8099399999999,2304.3977659075," "" "," "" "," "" "," "" "," "" "," "" "
20,1512.3593187999995,2282.251800678751," "" "," "" "," "" "," "" "," "" "," "" "
21,1508.4523175999996,2254.2496657550005," "" "," "" "," "" "," "" "," "" "," "" "
22,1504.1936791999997,2234.5429850587507," "" "," "" "," "" "," "" "," "" "," "" "
23,1502.2065203999996,2222.6567812224994," "" "," "" "," "" "," "" "," "" "," "" "
24,1497.4010799999994,2204.3407694075004," "" "," "" "," "" "," "" "," "" "," "" "
25,1490.0973019999997,2191.4016734087504," "" "," "" "," "" "," "" "," "" "," "" "
26,1488.6328435999997,2174.94840578," "" "," "" "," "" "," "" "," "" "," "" "
27,1488.4638235999996,2159.0337174662504," "" "," "" "," "" "," "" "," "" "," "" "
28,1486.5595612,2141.89290037625," "" "," "" "," "" "," "" "," "" "," "" "
29,1482.7042099999996,2136.79289459875," "" "," "" "," "" "," "" "," "" "," "" "
