Iteration,Average best solutions,Average of average solutions,P: Iteration,P: Population,P: Probability of crossing,P: Probability of mutation,P: No. crossing points,Out: Average time
0,1974.1344387999998,2948.8140773966675,30,120,0.85,0.12,"1,2,3",0.43001132011413573
1,1898.1121600000004,2753.2486486183334," "" "," "" "," "" "," "" "," "" "," "" "
2,1860.5148356000009,2712.432637078333," "" "," "" "," "" "," "" "," "" "," "" "
3,1812.0227088000006,2677.3286884400004," "" "," "" "," "" "," "" "," "" "," "" "
4,1760.957558,2637.3848116716667," "" "," "" "," "" "," "" "," "" "," "" "
5,1733.5524208000002,2604.9027158716663," "" "," "" "," "" "," "" "," "" "," "" "
6,1708.6607344000004,2572.888017156667," "" "," "" "," "" "," "" "," "" "," "" "
7,1698.5577446000002,2541.4487294433334," "" "," "" "," "" "," "" "," "" "," "" "
8,1677.9496230000002,2517.1026576483337," "" "," "" "," "" "," "" "," "" "," "" "
9,1661.921491,2482.277497036667," "" "," "" "," "" "," "" "," "" "," "" "
10,1651.3927536000003,2460.4077906316675," "" "," "" "," "" "," "" "," "" "," "" "
11,1633.3841528000003,2432.7055187816673," "" "," "" "," "" "," "" "," "" "," "" "
12,1618.2073256,2415.5529535333344," "" "," "" "," "" "," "" "," "" "," "" "
13,1598.7505728,2393.923172738333," "" "," "" "," "" "," "" "," "" "," "" "
14,1594.0198868,2375.0947647233334," "" "," "" "," "" "," "" "," "" "," "" "
15,1579.3358948,2354.5211489766657," "" "," "" "," "" "," "" "," "" "," "" "
16,1571.2396412000005,2328.866072383333," "" "," "" "," "" "," "" "," "" "," "" "
17,1562.5382104,2314.561084076667," "" "," "" "," "" "," "" "," "" "," "" "
18,1552.9730743999999,2300.631871873333," "" "," "" "," "" "," "" "," "" "," "" "
19,1546.4246031999996,2283.1356931366668," "" "," "" "," "" "," "" "," "" "," "" "
20,1536.2963955999999,2260.981232378333," "" "," "" "," "" "," "" "," "" "," "" "
21,1529.7972383999995,2232.389313960001," "" "," "" "," "" "," "" "," "" "," "" "
22,1523.2127791999997,2216.4799838833337," "" "," "" "," "" "," "" "," "" "," "" "
23,1516.7661739999996,2206.396833298333," "" "," "" "," "" "," "" "," "" "," "" "
24,1515.4055647999996,2187.562298086667," "" "," "" "," "" "," "" "," "" "," "" "
25,1513.9880964,2168.3515075483333," "" "," "" "," "" "," "" "," "" "," "" "
26,1512.7069227999996,2144.9202038216663," "" "," "" "," "" "," "" "," "" "," "" "
27,1510.1357571999997,2128.3277061333333," "" "," "" "," "" "," "" "," "" "," "" "
28,1507.2743768,2111.10975766," "" "," "" "," "" "," "" "," "" "," "" "
29,1504.301392,2098.304351783332," "" "," "" "," "" "," "" "," "" "," "" "
