Iteration,Average best solutions,Average of average solutions,P: Iteration,P: Population,P: Probability of crossing,P: Probability of mutation,P: No. crossing points,Out: Average time
0,2076.6014404,2954.173596859999,30,40,0.85,0.12,"1,2,3",0.13945961475372315
1,1996.8987606000003,2752.2009806449996," "" "," "" "," "" "," "" "," "" "," "" "
2,1956.0960592000006,2698.3940137," "" "," "" "," "" "," "" "," "" "," "" "
3,1910.6474666000001,2657.689364050001," "" "," "" "," "" "," "" "," "" "," "" "
4,1886.8538321999995,2621.5603589100006," "" "," "" "," "" "," "" "," "" "," "" "
5,1861.6416089999996,2572.88368423," "" "," "" "," "" "," "" "," "" "," "" "
6,1830.8182738,2536.115126204999," "" "," "" "," "" "," "" "," "" "," "" "
7,1817.1258590000004,2505.73266332," "" "," "" "," "" "," "" "," "" "," "" "
8,1800.5740930000002,2468.58341189," "" "," "" "," "" "," "" "," "" "," "" "
9,1786.1467366,2449.823750095," "" "," "" "," "" "," "" "," "" "," "" "
10,1765.0667696,2399.073454735," "" "," "" "," "" "," "" "," "" "," "" "
11,1755.5967163999999,2353.3907559550003," "" "," "" "," "" "," "" "," "" "," "" "
12,1746.9393671999999,2321.29666274," "" "," "" "," "" "," "" "," "" "," "" "
13,1737.6568487999996,2285.80080242," "" "," "" "," "" "," "" "," "" "," "" "
14,1731.5123308000004,2250.3794990150004," "" "," "" "," "" "," "" "," "" "," "" "
15,1726.9610440000001,2203.46998475," "" "," "" "," "" "," "" "," "" "," "" "
16,1713.0619696000003,2190.2663945549994," "" "," "" "," "" "," "" "," "" "," "" "
17,1707.2073872000003,2166.671844045," "" "," "" "," "" "," "" "," "" "," "" "
18,1702.7135932000006,2149.8147280000003," "" "," "" "," "" "," "" "," "" "," "" "
19,1702.7135932000006,2125.549267379999," "" "," "" "," "" "," "" "," "" "," "" "
20,1697.6833856,2107.5189394499994," "" "," "" "," "" "," "" "," "" "," "" "
21,1697.1565356,2093.53516158," "" "," "" "," "" "," "" "," "" "," "" "
22,1694.7115755999996,2076.05359332," "" "," "" "," "" "," "" "," "" "," "" "
23,1692.5002183999995,2063.50116878," "" "," "" "," "" "," "" "," "" "," "" "
24,1692.2973199999997,2054.3293129699996," "" "," "" "," "" "," "" "," "" "," "" "
25,1692.2472799999994,2046.8854761200002," "" "," "" "," "" "," "" "," "" "," "" "
26,1692.2472799999994,2036.4794464799998," "" "," "" "," "" "," "" "," "" "," "" "
27,1691.2626847999998,2030.4436983699995," "" "," "" "," "" "," "" "," "" "," "" "
28,1690.8136176,2024.96910422," "" "," "" "," "" "," "" "," "" "," "" "
29,1690.8136176,2013.9018849650001," "" "," "" "," "" "," "" "," "" "," "" "
