It;Pop;Cross;Mut;Crs1;Crs2;Crs3
30;20;0.85;0.12;5;3;4
30;40;0.85;0.12;5;3;4
30;80;0.85;0.12;5;3;4
30;120;0.85;0.12;5;3;4
30;160;0.85;0.12;5;3;4
30;200;0.85;0.12;5;3;4
30;240;0.85;0.12;5;3;4
30;300;0.85;0.12;5;3;4
30;400;0.85;0.12;5;3;4
30;600;0.85;0.12;5;3;4

