It;Pop;Cross;Mut;Crs1;Crs2;Crs3
30;80;0.3;0.15;5;3;4
30;80;0.4;0.15;5;3;4
30;80;0.6;0.15;5;3;4
30;80;0.8;0.15;5;3;4
30;80;0.9;0.15;5;3;4
30;80;1;0.15;5;3;4
