It;Pop;Cross;Mut;Crs1;Crs2;Crs3
30;80;0.85;0.05;5;3;4
30;80;0.85;0.10;5;3;4
30;80;0.85;0.15;5;3;4
30;80;0.85;0.2;5;3;4
30;80;0.85;0.3;5;3;4
30;80;0.85;0.4;5;3;4
30;80;0.85;0.6;5;3;4
